"","num","title","content"
"89",136,"나만 그런가?","         나 엣티제인데 가끔뭐랄까 다들 그러긴하겠지만 의도가 뻔히보이는 말에 굳이 의도대로 답하고싶어하지않아함 특히 그게 내가 기분이 나쁘고 내가 싫어하는애 혹은 내가 그말을해서 뒷감당을 오지게해야하는게 아니면 그냥 그럼 ㅋㅋㅋㅋㅋ그것도있고 기분나쁘면 일부러 그사람이 싫어하는 말을 골라서 하는게 엣티제 특일까아니면 다른사람도 그럴까 내 인성이 좆같은걸까 ㅇㅇ<U+00A0>        "
"90",137,"우리 estj 갤 메인사진 이걸로 바꾸면 안될까요?ㅋㅋㅋ","         가장ㅇ estj 를<U+00A0>잘 나타내는 영화 짤이라고 생각합니다ㅋㅋㅋㅋㅋㅋ        "
"91",138,"엣티제들 다들 긍정적임?","난 ㅈㄴ 현실적이라 그런지 성향이 기질적으로 시니컬하고 부정적인거같다  "
"92",139,"엣티제맞음 ;;","         니네가 내글에 하도 엣티제 아닌거같다고 뭐라뭐라고하길래 다시 검사 뇌에 힘뽞!!주고해도 똑같음 바뀌는건없음 세상에 다양한사람들이있고 그 유형을 16가지 유형으로 얼추간추려놓은게 엠벼기 때문ㅇ ㅔ사람마다 다 다른거라고 생각하고 넘기는게 마음이 편할듯 ? ㅋㅋ<U+00A0>ㅇㅇ        "
"93",140,"Mbti갤 유형간 갈등원인중에 이게 젤 큰거같음","자신이 싫어하는 사람을 특정유형에 투영해서거기에 속한 사람들 전체를 공격하는 경향이 있어서 그런듯조두순 유영철같은 흉악범죄자랑 같은 유형이라고해서거기 속한 모든사람이 범죄자는 아닌것처럼모든 인프피가 씹프피인것도 모든 엣티제가 불통인것도 아님"
"94",141,"주변 엣티제를 보면서 드는 생각과 궁금증","내 주변 엣티제들 공통점이 다들 워커홀릭임나같은 경우에 일은 그저 생활할 재화를 버는 수단이고일하는 분야가 재미없으면 성취욕이나 호승심이 안생김근데 주변 엣티제들이 일을 바라보는 시선은 나랑 많이 다른거같음남을 평가할때도 외모, 성격 등이 아니라 업무능력으로 판단하는 경우가 많고같이 대화를 해도 일, 투자계획 등이 대부분이고취미나 일상에 대한 얘기는 거의 없는듯 함일 자체가 좋은건지조직의 구성원으로써 인정을 받고싶은 경쟁심, 성취욕인지자본주의 사회에서 남들보다 앞서기 위해선지나도 그런 애티튜드를 보면서 동기부여되는 부분도 있지만사는게 피곤하지 않을까? 하는 생각이 듬2줄요약1. 엣티제들은 삶에서 일이 차지하는 부분이 굉장히 큰것같음2. 본인생활을 쪼개가며 열심히 하는 이유가 어디서 오는지 궁금함"
"95",142,"원래 엣티제 안 이러죠?","아빠가 엣티제고 제가 인티제인데요. 아빠가 하는 말 중에 틀린 거 있으면 반박하고, 말이 좀 이상하다 싶으면 고쳐드리는데요..아빠는 그게 아닌가 봐요. 항상 ""넌 왜 어른한테 그렇게 싸가지가 없냐"" 이러시면서 귀를 닫아버리시네요. 오빠가 엔프피인데 오빠가 먼저 잘못한 것도 그냥 제가 사과하래요. 나이 많으면 어른이라고, 저보다 더 경험한거 많으니까 잘못된것도 받아들이라네요..MBTI를 떠나서 그냥 아빠의 사상인걸까요?"
"96",144,"estj한테 먼저시비거는쪽은 전부 다른유형들임ㅋㅋㅋ","여기글만봐도전부 타유형들와서질문 분탕 찝쩍 뒷담에효...<U+00A0><U+00A0>갤분위기가 그유형이어떻게 살아가는지를 말해주는거겠지고생하는 서글픈 우리 estj"
"97",145,"엣티제는 인팁 어떻게 생각캐?","         인팁이 게으른걸 엣티제는 용납 못하는데, 엣티제가 인팁을 간섭하고 통제하려고 하는 순간 인팁과 사이가 멀어지려나??확실히 인팁보단 엔팁이 좀더 궁합이 맞나?        "
"98",146,"요즘 긍정적으로 생각하는것의 힘을느낌","전에는 엄청 부정적으로 살면서 스스로 대화를 하면서 자책을 엄청 많이 하고 스스로에게 제약을 많이 걸어놨는데긍정적으로 사니까 뭔가 마음속에 막힌 구멍이 뚫린 느낌이고살아가는데 힘이 남왜 그러는지는 점점 알아가는중"
"99",147,"J 갖고싶다","J 좀 나눠주실 엣티제 구함 나 공부해야 하는데 "
"100",148,"ENTJ랑 ESTJ랑 조합 어떤가요?","잘 안 맞는 편인가요?"
"101",150,"Isfp에 대해서 어떻게 생각해?","내가 estj인 마음에 드는사람이 있는데 어떻게 행동해야 할지 모르겟어 "
"102",151,"너네 n유형에 대해 어떻게 생각함??","n을 보면 무슨 생각이 들어? "
"103",152,"손님 왔다 인사 오지게 박아라","근데 왜 니들이 나랑 잘 맞는다고 나왔지? "
